W/T,imageID,C,style,sex,surveyID,train/vali,R_id,Q5
W,04643,50,ivy,M,088050,vali,59778,2
W,17443,90,hiphop,M,138066,vali,63927,1
W,44321,80,bold,M,112545,vali,62659,1
W,17347,00,metrosexual,M,140807,vali,64044,1
W,25086,10,sportivecasual,M,144762,vali,64221,2
W,17305,70,hippie,M,172007,vali,65073,1
T,10768,10,sportivecasual,W,193648,vali,66318,2
W,61790,10,sportivecasual,W,099827,vali,61250,1
W,24590,60,mods,M,161075,vali,64807,2
W,45386,00,oriental,W,150248,vali,64473,2
W,29897,60,mods,M,133012,vali,63690,1
W,17603,50,ivy,M,121661,vali,63392,1
W,01552,19,normcore,M,137679,vali,63913,2
W,47862,19,normcore,W,115437,vali,62952,2
W,07058,19,normcore,M,126642,vali,63505,2
W,18670,00,ecology,W,125206,vali,63474,1
W,15503,70,hippie,M,121588,vali,63389,1
W,24598,80,bold,M,150154,vali,64471,1
W,15341,60,mods,M,079587,vali,58193,2
W,02794,90,hiphop,M,135984,vali,63774,1
W,12866,60,mods,M,024823,vali,18953,2
W,14417,10,sportivecasual,W,126159,vali,63495,2
W,06576,50,ivy,M,047131,vali,28571,1
W,03859,19,normcore,W,133530,vali,63711,2
W,09295,50,classic,W,088385,vali,59800,2
W,11266,60,popart,W,119039,vali,63269,1
W,07532,70,hippie,W,041419,vali,25979,2
W,02701,60,mods,M,045872,vali,28460,2
W,02677,60,mods,M,216118,vali,67212,2
W,48457,60,minimal,W,160327,vali,64785,1
W,02837,00,metrosexual,M,054578,vali,30330,2
W,15071,00,cityglam,W,119651,vali,63316,1
W,17032,10,sportivecasual,M,111745,vali,62589,1
W,12312,80,bold,M,232280,vali,67873,2
W,02394,10,sportivecasual,W,087067,vali,59642,2
W,34080,70,hippie,M,196252,vali,66442,1
W,06438,00,ecology,W,135288,vali,63753,2
W,23900,50,ivy,M,023416,vali,18667,1
W,15684,70,hippie,M,146372,vali,64286,2
W,13359,80,powersuit,W,124521,vali,63457,1
T,05917,10,sportivecasual,W,040068,vali,25354,2
W,08839,10,athleisure,W,098357,vali,61104,2
W,19352,50,feminine,W,081713,vali,58570,2
W,09152,60,mods,M,200751,vali,66598,1
W,03569,10,sportivecasual,W,110913,vali,62521,2
W,12599,60,mods,M,046335,vali,28503,2
W,15394,70,hippie,M,091795,vali,60056,1
W,02392,50,feminine,W,133951,vali,63721,1
W,25194,00,metrosexual,M,071897,vali,52208,1
W,25649,19,normcore,M,149875,vali,64460,2
W,13973,90,lingerie,W,123299,vali,63430,2
W,16738,50,ivy,M,002009,vali,895,1
W,10186,80,powersuit,W,053538,vali,29983,1
W,15661,70,hippie,M,086732,vali,59548,1
W,25884,90,hiphop,M,043559,vali,27294,1
W,15244,80,bold,M,016716,vali,12826,2
W,08951,19,normcore,W,130065,vali,63583,2
W,16501,70,hippie,M,094049,vali,60434,1
W,15248,50,ivy,M,109538,vali,62365,2
T,07990,60,mods,M,190828,vali,66072,1
W,24102,60,mods,M,218109,vali,67326,2
W,39793,80,powersuit,W,091277,vali,60013,2
W,19278,80,bodyconscious,W,134191,vali,63726,1
W,44321,80,bold,M,104660,vali,61859,1
W,24758,50,ivy,M,150860,vali,64499,1
W,12112,80,bold,M,143934,vali,64195,1
W,06626,00,metrosexual,M,046322,vali,28503,2
W,09889,10,sportivecasual,M,014609,vali,10596,2
W,17414,70,hippie,M,084099,vali,59083,1
W,08673,90,kitsch,W,117932,vali,63156,1
W,15486,00,metrosexual,M,117415,vali,63115,1
W,10112,50,ivy,M,120814,vali,63369,2
T,17310,19,normcore,M,201893,vali,66655,2
W,06895,00,metrosexual,M,059795,vali,34943,2
W,16172,70,hippie,M,140929,vali,64049,1
W,18094,60,space,W,205250,vali,66770,1
W,40642,10,sportivecasual,W,021822,vali,17951,1
W,15856,60,mods,M,044845,vali,28030,2
W,06498,19,normcore,W,119654,vali,63316,2
W,30027,50,ivy,M,146286,vali,64284,2
W,24590,60,mods,M,197129,vali,66488,1
W,06448,10,sportivecasual,W,136003,vali,63780,2
W,27850,50,ivy,M,048685,vali,28801,2
W,25981,80,bold,M,148356,vali,64364,1
T,17783,19,normcore,M,233514,vali,67967,1
W,11423,00,ecology,W,122421,vali,63409,2
W,60553,00,cityglam,W,197775,vali,66513,1
W,14828,50,classic,W,062354,vali,40327,1
W,09777,90,hiphop,M,037238,vali,23831,1
W,30671,70,hippie,W,045931,vali,28465,1
W,15270,60,mods,M,129525,vali,63571,1
W,06214,90,hiphop,M,126797,vali,63508,1
W,05667,10,athleisure,W,130629,vali,63597,1
W,15319,50,ivy,M,103977,vali,61749,2
W,27850,50,ivy,M,144248,vali,64206,2
W,02660,60,mods,M,148768,vali,64397,2
T,19430,19,normcore,M,053809,vali,30065,1
W,17221,70,hippie,M,155199,vali,64652,1
W,17785,90,grunge,W,106759,vali,62113,1
W,06889,90,hiphop,M,109226,vali,62349,1
W,02936,00,metrosexual,M,143220,vali,64156,1
W,24102,60,mods,M,173468,vali,65114,2
W,04237,60,mods,M,145141,vali,64237,1
W,16819,00,metrosexual,M,014525,vali,10590,1
W,18080,90,kitsch,W,128096,vali,63537,1
W,15658,00,metrosexual,M,105561,vali,61960,1
W,16362,80,bold,M,023835,vali,18730,2
W,17235,60,mods,M,090680,vali,59974,1
W,39793,80,powersuit,W,205590,vali,66780,2
W,06955,10,sportivecasual,M,047860,vali,28700,2
W,06148,50,ivy,M,118428,vali,63207,1
W,06797,70,hippie,M,049187,vali,28857,1
W,06547,00,metrosexual,M,084102,vali,59083,2
W,01236,10,sportivecasual,W,062560,vali,41030,2
W,04463,90,hiphop,M,059546,vali,34877,1
W,04643,50,ivy,M,105564,vali,61960,2
W,01410,19,normcore,M,135050,vali,63748,2
W,03125,80,bodyconscious,W,087471,vali,59685,1
W,11509,80,bodyconscious,W,002281,vali,1022,1
W,22623,00,cityglam,W,155610,vali,64662,1
W,16374,10,sportivecasual,M,031937,vali,22324,1
W,15140,80,bold,M,151588,vali,64522,1
W,13518,80,powersuit,W,124763,vali,63462,2
W,15319,50,ivy,M,114894,vali,62904,1
W,24109,60,mods,M,212642,vali,67045,2
W,52578,50,ivy,M,066716,vali,48721,1
W,10783,50,ivy,M,140843,vali,64044,1
W,06874,90,hiphop,M,023877,vali,18730,1
W,15508,60,mods,M,123271,vali,63429,1
W,24923,00,metrosexual,M,152631,vali,64553,1
W,10107,60,mods,M,093004,vali,60234,2
W,10558,50,feminine,W,022923,vali,18595,1
W,27899,70,hippie,M,182942,vali,65565,1
W,04237,60,mods,M,147112,vali,64310,1
W,08988,10,athleisure,W,011346,vali,6792,2
W,13304,80,powersuit,W,119008,vali,63267,1
W,06522,50,ivy,M,030710,vali,21432,2
W,16281,70,hippie,M,137816,vali,63917,1
W,27773,80,bold,M,146156,vali,64280,1
W,16034,80,bold,M,016163,vali,12124,1
W,24141,50,ivy,M,146211,vali,64281,1
W,14488,60,minimal,W,127578,vali,63526,1
T,14538,00,cityglam,W,066363,vali,48094,2
W,00359,90,grunge,W,075471,vali,54397,1
W,06015,80,powersuit,W,063109,vali,42025,1
W,34024,10,sportivecasual,W,042266,vali,26490,1
W,00103,70,hippie,M,209670,vali,66898,1
W,14299,70,disco,W,103076,vali,61646,1
W,58793,00,metrosexual,M,168654,vali,64991,1
W,12904,50,ivy,M,036195,vali,23437,1
W,24493,70,hippie,M,147630,vali,64336,2
W,06090,10,athleisure,W,023596,vali,18699,1
W,25235,60,mods,M,213048,vali,67060,1
W,03522,80,powersuit,W,134720,vali,63740,2
W,15762,70,hippie,M,138188,vali,63930,1
W,14852,50,feminine,W,115413,vali,62952,1
W,16630,50,ivy,M,010253,vali,5545,1
W,03951,00,cityglam,W,125015,vali,63468,1
W,11256,80,bodyconscious,W,127191,vali,63517,1
W,16516,90,hiphop,M,138049,vali,63927,1
W,10191,00,oriental,W,044791,vali,27995,2
W,16702,00,metrosexual,M,114424,vali,62868,1
W,24747,60,mods,M,146162,vali,64280,1
W,17447,80,bold,M,128590,vali,63547,2
W,13098,70,punk,W,039621,vali,25040,1
W,08139,10,athleisure,W,135673,vali,63763,1
W,01853,60,mods,M,092823,vali,60215,1
W,16444,10,sportivecasual,M,137678,vali,63913,1
T,21986,70,hippie,M,016841,vali,13142,1
W,24250,90,hiphop,M,169174,vali,65003,1
W,18613,00,cityglam,W,156679,vali,64694,1
W,11256,80,bodyconscious,W,041420,vali,25979,1
W,05791,10,sportivecasual,W,076462,vali,55125,2
T,05562,19,normcore,W,085408,vali,59321,2
W,07445,80,bodyconscious,W,042710,vali,26896,2
W,01236,10,sportivecasual,W,017701,vali,13990,2
W,05312,80,bodyconscious,W,132470,vali,63654,2
W,03047,80,bold,M,228856,vali,67737,2
W,17874,80,bold,M,023901,vali,18736,1
W,05917,60,space,W,087103,vali,59642,2
W,00492,50,ivy,M,022041,vali,18262,1
W,24130,60,mods,M,149752,vali,64453,2
W,14785,00,cityglam,W,112215,vali,62625,2
W,02705,19,normcore,M,103500,vali,61682,2
W,27828,60,minimal,W,151011,vali,64503,2
W,18057,50,classic,W,005015,vali,2052,2
W,07238,90,hiphop,M,231031,vali,67812,2
W,05760,60,minimal,W,048047,vali,28749,1
W,19940,00,oriental,W,123947,vali,63445,1
T,21988,70,hippie,M,021104,vali,17441,2
W,17747,80,bold,M,233709,vali,67975,1
W,25235,60,mods,M,164779,vali,64905,1
W,17135,00,metrosexual,M,118400,vali,63207,1
W,09285,00,metrosexual,M,003445,vali,1690,2
W,16347,70,hippie,M,046133,vali,28481,1
W,15661,70,hippie,M,153778,vali,64592,1
W,30988,90,kitsch,W,158651,vali,64747,2
W,18058,50,classic,W,129002,vali,63559,2
W,04854,50,feminine,W,123526,vali,63435,2
W,25790,90,hiphop,M,075072,vali,54264,1
W,18160,50,classic,W,087027,vali,59637,1
W,05892,10,sportivecasual,M,154854,vali,64636,2
W,32800,60,mods,M,112361,vali,62653,1
W,04638,00,metrosexual,M,206606,vali,66812,1
W,26525,60,minimal,W,070914,vali,51503,1
W,24717,60,mods,M,198959,vali,66545,1
W,04237,60,mods,M,034801,vali,23113,2
W,04245,70,hippie,M,048867,vali,28828,2
T,12378,80,powersuit,W,028646,vali,20449,2
W,22943,10,athleisure,W,066888,vali,48810,1
W,04836,50,feminine,W,115646,vali,62976,2
W,01035,70,military,W,122747,vali,63418,1
W,06739,90,hiphop,M,046793,vali,28530,1
W,31439,19,normcore,M,001849,vali,837,1
W,38785,60,minimal,W,041097,vali,25786,1
W,06814,60,mods,M,024912,vali,18965,2
W,16505,10,sportivecasual,M,030675,vali,21432,1
W,38785,60,minimal,W,099268,vali,61192,1
W,18205,50,feminine,W,035699,vali,23372,1
W,02688,60,mods,M,027833,vali,20316,2
W,16393,80,bold,M,139000,vali,63957,1
W,33329,50,ivy,M,150160,vali,64472,2
W,16466,10,sportivecasual,M,105038,vali,61913,1
T,00253,60,popart,W,200551,vali,66592,2
W,17443,90,hiphop,M,133147,vali,63699,1
T,06875,10,sportivecasual,W,143321,vali,64167,2
W,01294,10,sportivecasual,W,131944,vali,63630,2
W,02936,00,metrosexual,M,006896,vali,2672,1
W,11214,50,feminine,W,201712,vali,66645,2
W,01075,10,sportivecasual,W,130522,vali,63594,2
W,30290,50,ivy,M,091638,vali,60033,1
W,15569,70,hippie,M,136792,vali,63844,1
W,14828,50,classic,W,098810,vali,61145,1
W,28022,50,ivy,M,047477,vali,28619,1
W,05580,10,sportivecasual,W,131089,vali,63611,1
W,25163,90,hiphop,M,205666,vali,66783,1
W,06814,60,mods,M,217826,vali,67309,2
W,09698,19,genderless,W,123036,vali,63424,2
W,52578,50,ivy,M,169602,vali,65014,1
W,05876,70,hippie,M,138611,vali,63942,2
W,27828,60,minimal,W,158648,vali,64747,1
W,15762,70,hippie,M,080354,vali,58292,1
W,07077,19,normcore,M,068563,vali,49897,2
W,09737,10,sportivecasual,W,132408,vali,63644,2
T,10768,10,sportivecasual,W,081694,vali,58565,2
W,07316,00,metrosexual,M,147875,vali,64346,2
W,05818,90,lingerie,W,087040,vali,59637,1
W,33284,90,kitsch,W,009355,vali,4799,1
W,06448,10,sportivecasual,W,102803,vali,61602,1
W,16747,00,metrosexual,M,138339,vali,63934,1
W,06358,60,minimal,W,078474,vali,57689,1
W,28480,60,minimal,W,033633,vali,22784,1
W,18622,60,minimal,W,126686,vali,63506,1
W,35400,80,powersuit,W,090350,vali,59944,1
W,15184,60,mods,M,148751,vali,64397,1
T,11024,00,cityglam,W,034913,vali,23135,1
W,06000,80,powersuit,W,133922,vali,63720,1
W,01389,10,sportivecasual,W,120388,vali,63359,2
W,08977,19,normcore,W,086621,vali,59523,2
W,07333,70,hippie,M,140962,vali,64050,1
W,15141,70,hippie,M,022432,vali,18443,1
W,03125,80,bodyconscious,W,029368,vali,20630,1
W,34436,60,space,W,200576,vali,66592,1
T,01514,50,ivy,M,232486,vali,67885,1
W,05526,10,sportivecasual,W,130769,vali,63601,1
W,16541,50,ivy,M,118930,vali,63255,2
W,04643,50,ivy,M,140235,vali,64018,2
W,13186,80,powersuit,W,010497,vali,5682,2
W,02845,60,mods,M,012659,vali,7905,2
W,00716,60,minimal,W,122763,vali,63418,2
W,03951,00,cityglam,W,109459,vali,62361,2
W,23964,60,mods,M,118690,vali,63238,1
W,51577,50,ivy,M,186203,vali,65730,2
W,29942,50,ivy,M,174227,vali,65139,1
W,08691,10,sportivecasual,W,095114,vali,60587,1
W,10167,60,minimal,W,023151,vali,18635,1
W,17366,19,normcore,M,135896,vali,63769,2
W,24643,90,hiphop,M,045517,vali,28371,1
W,16465,10,sportivecasual,M,047122,vali,28571,1
W,05868,50,ivy,M,146878,vali,64302,1
W,12393,50,ivy,M,144373,vali,64209,2
W,12476,90,hiphop,M,098880,vali,61157,2
W,12803,70,hippie,M,150520,vali,64487,2
W,00191,10,sportivecasual,W,124866,vali,63464,2
W,03685,10,athleisure,W,110946,vali,62525,1
W,23519,60,minimal,W,152836,vali,64561,1
W,28480,60,minimal,W,207351,vali,66834,1
W,14299,70,disco,W,004671,vali,2013,2
W,33901,90,kitsch,W,058441,vali,33020,1
W,10722,60,space,W,004082,vali,1991,1
W,10558,50,feminine,W,113430,vali,62768,1
W,17616,70,hippie,M,123420,vali,63432,1
W,06186,60,mods,M,149280,vali,64427,1
W,06522,50,ivy,M,000174,vali,27,2
W,03927,60,minimal,W,043103,vali,27046,2
W,39164,00,oriental,W,158660,vali,64747,2
W,09152,60,mods,M,202597,vali,66686,2
W,18622,60,minimal,W,125160,vali,63473,1
W,08691,10,sportivecasual,W,108851,vali,62299,2
W,15402,70,hippie,M,156384,vali,64685,2
W,02962,10,sportivecasual,M,080568,vali,58324,2
W,27138,60,mods,M,174228,vali,65139,1
W,12708,50,ivy,M,114411,vali,62868,1
W,34436,60,space,W,171545,vali,65062,1
W,19454,90,kitsch,W,122586,vali,63412,1
W,00496,60,mods,M,044086,vali,27627,2
W,08205,70,punk,W,002280,vali,1022,1
W,48687,60,mods,M,010902,vali,6339,1
W,15503,70,hippie,M,007348,vali,3022,1
W,46459,80,powersuit,W,140119,vali,64011,2
W,09001,10,athleisure,W,125265,vali,63475,2
W,05502,00,ecology,W,128197,vali,63539,1
T,15662,80,bold,M,212115,vali,67023,1
W,18992,70,military,W,042221,vali,26472,2
W,08866,10,sportivecasual,W,016358,vali,12223,2
W,18482,50,feminine,W,077885,vali,57062,1
W,12260,80,bold,M,040200,vali,25446,2
W,01463,60,mods,M,008399,vali,4035,2
W,15740,70,hippie,M,147113,vali,64310,1
W,16032,80,bold,M,088680,vali,59819,1
W,24628,70,hippie,M,179776,vali,65415,1
W,04638,00,metrosexual,M,069396,vali,50357,1
W,17353,50,ivy,M,137589,vali,63911,1
W,16578,90,hiphop,M,126830,vali,63508,1
W,32233,00,metrosexual,M,153181,vali,64571,1
W,23519,60,minimal,W,195737,vali,66416,2
W,32407,60,mods,M,144799,vali,64223,1
W,02557,00,ecology,W,130908,vali,63606,2
W,00831,19,normcore,M,118435,vali,63207,2
W,16690,60,mods,M,147487,vali,64324,1
W,12067,00,ecology,W,119010,vali,63267,2
W,00351,70,hippie,W,006356,vali,2339,1
W,13781,60,minimal,W,135128,vali,63750,1
W,03717,10,athleisure,W,125457,vali,63479,1
W,24493,70,hippie,M,112354,vali,62653,1
W,09889,10,sportivecasual,M,117311,vali,63109,1
W,08673,90,kitsch,W,006075,vali,2267,2
W,17539,00,metrosexual,M,099516,vali,61227,1
W,22623,00,cityglam,W,155077,vali,64643,1
W,64332,80,powersuit,W,203960,vali,66731,1
W,15184,60,mods,M,198852,vali,66543,1
W,00946,50,ivy,M,095980,vali,60731,2
W,06547,00,metrosexual,M,047211,vali,28581,1
W,01389,10,sportivecasual,W,075456,vali,54397,2
W,11903,00,oriental,W,075223,vali,54281,1
W,09021,60,minimal,W,125152,vali,63473,1
W,01236,10,sportivecasual,W,039575,vali,25033,1
W,15394,70,hippie,M,147355,vali,64319,1
W,15140,80,bold,M,138791,vali,63952,1
W,12866,60,mods,M,091350,vali,60015,2
W,24553,70,hippie,M,059854,vali,34945,1
W,27850,50,ivy,M,047470,vali,28619,2
W,15319,50,ivy,M,105868,vali,61992,2
W,09085,60,minimal,W,106756,vali,62113,1
W,19960,70,punk,W,174450,vali,65146,1
W,34808,10,sportivecasual,W,168220,vali,64980,2
W,11444,80,bodyconscious,W,062565,vali,41030,1
W,17235,60,mods,M,110449,vali,62461,2
W,07643,90,grunge,W,102653,vali,61578,2
W,17867,50,ivy,M,135068,vali,63748,2
W,06557,60,mods,M,070814,vali,51480,1
W,15661,70,hippie,M,001836,vali,837,1
W,20598,70,military,W,161168,vali,64809,1
W,16393,80,bold,M,085814,vali,59409,1
W,14102,50,feminine,W,158680,vali,64747,1
W,52578,50,ivy,M,227075,vali,67669,2
W,16732,70,hippie,M,143533,vali,64181,1
W,07981,70,military,W,087029,vali,59637,1
W,05667,10,athleisure,W,032254,vali,22397,1
W,26634,90,hiphop,M,148979,vali,64403,1
W,10251,70,punk,W,062581,vali,41030,2
T,01123,90,hiphop,M,211976,vali,67019,1
W,02394,10,sportivecasual,W,075182,vali,54279,2
W,18670,00,ecology,W,003740,vali,1968,1
W,05258,90,kitsch,W,075213,vali,54281,1
W,10112,50,ivy,M,125409,vali,63478,2
W,29381,90,hiphop,M,092584,vali,60184,1
W,09154,50,ivy,M,047214,vali,28581,1
W,00028,50,ivy,M,150185,vali,64472,2
W,00456,19,normcore,W,063505,vali,42498,2
W,18373,50,classic,W,029840,vali,20768,2
W,32136,50,ivy,M,086747,vali,59548,1
W,12393,50,ivy,M,079553,vali,58193,1
W,26393,50,ivy,M,157806,vali,64723,2
W,27854,50,ivy,M,150060,vali,64470,2
W,02095,60,popart,W,087078,vali,59642,2
W,15497,70,hippie,M,101093,vali,61375,1
W,07120,19,normcore,M,031953,vali,22324,2
W,01179,10,sportivecasual,W,081546,vali,58492,2
W,05917,60,space,W,104815,vali,61877,2
W,16690,60,mods,M,218133,vali,67326,2
W,11509,80,bodyconscious,W,106791,vali,62113,1
W,46907,80,powersuit,W,063965,vali,42905,2
W,00716,60,minimal,W,079748,vali,58251,2
W,15520,70,hippie,M,091657,vali,60036,2
W,13510,80,powersuit,W,009661,vali,4996,2
W,17697,50,ivy,M,145223,vali,64238,1
W,31913,90,hiphop,M,111074,vali,62533,1
W,10184,50,feminine,W,099778,vali,61250,2
W,38489,80,powersuit,W,080812,vali,58343,1
W,08988,10,athleisure,W,004659,vali,2013,2
W,63644,10,sportivecasual,M,166008,vali,64932,1
W,16037,19,normcore,M,135871,vali,63769,1
W,28453,10,sportivecasual,M,144764,vali,64221,2
W,16915,10,sportivecasual,M,094238,vali,60465,1
W,06186,60,mods,M,107092,vali,62155,1
W,01886,70,hippie,W,021764,vali,17940,2
W,14538,60,space,W,003208,vali,1513,1
T,12746,90,lingerie,W,206655,vali,66813,1
W,00598,19,normcore,W,090434,vali,59958,2
W,10768,00,ecology,W,029845,vali,20768,1
W,16362,80,bold,M,069386,vali,50357,1
W,11936,00,oriental,W,125497,vali,63479,1
W,09763,80,bold,M,135891,vali,63769,1
W,03531,19,normcore,W,128479,vali,63545,2
W,23964,60,mods,M,145837,vali,64266,2
W,23900,50,ivy,M,161443,vali,64815,1
W,15071,00,cityglam,W,125972,vali,63490,2
W,10066,50,ivy,M,107728,vali,62203,2
W,02392,50,feminine,W,233723,vali,67977,1
W,09156,50,ivy,M,014553,vali,10590,2
W,07074,00,metrosexual,M,233711,vali,67975,2
W,24211,70,hippie,M,224916,vali,67592,1
W,15843,00,metrosexual,M,186531,vali,65743,1
W,16624,90,hiphop,M,108432,vali,62264,1
W,17796,00,metrosexual,M,144803,vali,64223,2
W,07916,80,powersuit,W,112205,vali,62625,2
W,05791,10,sportivecasual,W,047170,vali,28572,2
W,08866,10,sportivecasual,W,128933,vali,63558,2
W,12517,70,hippie,M,196767,vali,66469,2
W,12410,70,hippie,M,084066,vali,59083,1
W,29347,80,bodyconscious,W,099806,vali,61250,2
W,01294,10,sportivecasual,W,130596,vali,63596,2
W,10191,00,oriental,W,123325,vali,63430,1
T,15497,10,sportivecasual,M,211012,vali,66983,1
W,05271,50,feminine,W,117911,vali,63156,1
W,24628,70,hippie,M,146130,vali,64280,2
W,00004,50,ivy,M,092597,vali,60184,2
W,00073,50,ivy,M,138788,vali,63952,2
W,38869,00,ecology,W,155727,vali,64666,1
W,47546,60,minimal,W,032033,vali,22347,2
W,01463,60,mods,M,049397,vali,28912,1
W,10455,60,space,W,087028,vali,59637,2
W,16347,70,hippie,M,218110,vali,67326,1
W,26397,70,hippie,M,144750,vali,64221,1
W,02728,60,mods,M,103970,vali,61749,1
W,07333,70,hippie,M,133813,vali,63718,1
W,04636,50,ivy,M,031954,vali,22324,2
T,01896,19,normcore,M,196149,vali,66440,1
W,33329,50,ivy,M,119471,vali,63296,2
W,19267,70,disco,W,043829,vali,27445,1
W,18714,90,kitsch,W,013449,vali,9096,2
W,16699,00,metrosexual,M,217808,vali,67309,1
W,04522,50,ivy,M,044698,vali,27926,2
W,07333,70,hippie,M,116212,vali,63042,1
W,14444,80,bodyconscious,W,094573,vali,60510,1
W,12803,70,hippie,M,135990,vali,63774,1
W,29990,90,hiphop,M,074399,vali,53782,1
T,14706,19,normcore,W,042930,vali,26992,2
W,25209,90,hiphop,M,148349,vali,64364,1
W,00161,60,space,W,130325,vali,63590,2
W,14930,50,classic,W,059901,vali,35038,2
W,10783,50,ivy,M,132953,vali,63685,2
W,14512,60,minimal,W,125053,vali,63469,2
W,00152,50,feminine,W,194091,vali,66359,2
W,12413,90,hiphop,M,108473,vali,62264,2
W,14468,10,sportivecasual,W,134789,vali,63742,1
W,14469,60,space,W,203199,vali,66709,1
W,03842,50,feminine,W,209388,vali,66889,2
W,28203,10,sportivecasual,M,111101,vali,62533,2
W,02306,70,disco,W,124545,vali,63458,1
W,19820,50,feminine,W,171721,vali,65067,1
W,06895,00,metrosexual,M,049393,vali,28912,1
W,26393,50,ivy,M,154735,vali,64633,1
W,25715,10,sportivecasual,M,156347,vali,64685,2
W,12817,50,ivy,M,154743,vali,64633,2
W,12214,70,hippie,M,101068,vali,61375,2
W,52578,50,ivy,M,233698,vali,67975,2
W,63188,90,kitsch,W,226445,vali,67649,1
W,13329,50,feminine,W,146261,vali,64282,1
W,04237,60,mods,M,146679,vali,64295,1
W,25884,90,hiphop,M,060132,vali,35283,1
W,12413,90,hiphop,M,108265,vali,62251,1
W,24130,60,mods,M,217741,vali,67307,2
W,12803,70,hippie,M,146680,vali,64295,2
W,04636,50,ivy,M,006534,vali,2486,2
W,16732,70,hippie,M,149895,vali,64460,2
W,15370,50,ivy,M,145190,vali,64238,2
W,14572,50,classic,W,194383,vali,66375,2
W,09307,60,popart,W,013405,vali,8973,1
W,27042,60,mods,M,176459,vali,65234,1
W,05321,80,bodyconscious,W,131037,vali,63609,1
W,16347,70,hippie,M,125569,vali,63481,1
W,14225,50,feminine,W,212574,vali,67044,1
W,00299,50,feminine,W,115321,vali,62932,1
W,27750,60,mods,M,144332,vali,64208,1
W,07753,70,hippie,W,090437,vali,59958,1
W,16698,00,metrosexual,M,092975,vali,60234,1
T,06190,10,sportivecasual,W,005399,vali,2085,1
W,11659,50,feminine,W,121913,vali,63398,1
T,08246,10,sportivecasual,W,044222,vali,27728,2
W,02728,60,mods,M,087694,vali,59704,2
W,15341,60,mods,M,108470,vali,62264,1
W,01020,50,feminine,W,003840,vali,1970,2
T,19945,19,normcore,M,238959,vali,68507,1
W,07490,80,powersuit,W,004426,vali,2004,2
W,09363,19,genderless,W,112225,vali,62625,2
W,10429,60,minimal,W,006330,vali,2337,1
W,15394,70,hippie,M,129510,vali,63571,1
W,27040,80,bold,M,144684,vali,64216,2
W,24103,50,ivy,M,147895,vali,64346,2
W,26288,70,hippie,M,151037,vali,64504,2
W,00865,90,hiphop,M,121681,vali,63392,2
W,13789,60,space,W,031249,vali,21611,1
W,27765,60,mods,M,092598,vali,60184,2
